视频编号,视频文件,Session,题目,A,B,C,D,正确答案,视频时长秒
vid_0069,0069.mp4,1,画面下方的卡通角色主要在做什么？,做饭炒菜,骑车赶路,蹦跳舞动,静坐看书,C,6.803
vid_0070,0070.mp4,16,视频主要展示的动物是什么？,猪,猫,鸡,鼠,A,6.826
vid_0071,0071.mp4,13,画面下方出现的人物形象是？,老年男性,年轻女性,青年女性,少年儿童,A,6.849
vid_0072,0072.mp4,10,视频主要展示的动物是什么？,兔子,猫,狗,仓鼠,B,6.849
vid_0073,0073.mp4,2,视频中的女性主要在做什么？,做健身运动,打扫卫生,烹饪食物,跳民族舞蹈,A,6.857
vid_0074,0074.mp4,9,视频的背景主要是什么场景？,沙漠,森林,雪地,海边,D,6.919
vid_0075,0075.mp4,6,视频中的工人主要在做什么？,跳舞表演,上课教学,装填封装包装袋,做饭炒菜,C,6.919
vid_0076,0076.mp4,7,视频里的人们主要在做什么？,躺在床上,跑步锻炼,唱歌跳舞,烧菜做饭,A,6.94
vid_0077,0077.mp4,7,视频中的人物主要在做什么？,看书,打球,跳舞,吃饭,D,6.94
vid_0078,0078.mp4,6,视频中的人物主要在做什么？,跳舞表演,走路散步,画画写字,做饭炒菜,B,6.942
vid_0079,0079.mp4,9,视频中的女性主要在做什么？,跳绳运动,生火做饭,伏案写字,持扇走步展示,D,6.964
vid_0080,0080.mp4,2,穿运动服的男生主要在做什么？,吃饭,跑步,打球,跳舞,B,6.987
vid_0081,0081.mp4,3,视频中的手主要在做什么？,轻捏婴儿脸颊,执笔写字,打扫房间卫生,烹饪炒菜,A,6.987
vid_0082,0082.mp4,16,视频中天空里持续出现的圆形亮体是什么？,太阳,气球,风筝,月亮,A,6.987
vid_0083,0083.mp4,13,视频里的大人主要在做什么？,清洗蔬菜,弹奏钢琴,跑步锻炼,逗弄小宝宝,D,6.987
vid_0084,0084.mp4,10,视频中的人物主要在做什么？,打扫房间,烹饪食物,演奏乐器,写毛笔字,D,6.988
vid_0085,0085.mp4,8,视频主要展示什么？,汉堡炸鸡等快餐,数码产品,新鲜水果,服装鞋帽,A,7.01
vid_0086,0086.mp4,15,这段视频主要展示的是什么内容？,真人体育赛事,美食制作视频,手机游戏对局,课堂教学录像,C,7.012
vid_0087,0087.mp4,1,视频中成年人主要在对小宝宝做什么？,给宝宝穿衣服,哄宝宝睡觉,给宝宝洗脸,喂宝宝吃饭,D,7.012
vid_0088,0088.mp4,12,视频的主要场景是哪里？,海边,草原,森林,沙漠,A,7.035
vid_0089,0089.mp4,17,视频里的小宝宝主要在做什么？,玩玩具,翻身,画画,吃东西,B,7.035
vid_0090,0090.mp4,14,视频中的年轻女子主要在做什么？,跳舞,走路,做饭,画画,B,7.035
vid_0091,0091.mp4,11,视频主要展示的场景是？,茂密热带雨林,盛夏海边沙滩,繁华都市街区,积雪冬日乡村,D,7.058
vid_0092,0092.mp4,5,视频中的人物主要在做什么？,对着镜头做各种表情,在厨房炒菜做饭,坐着阅读书本,在户外跑步运动,A,7.058
vid_0093,0093.mp4,4,视频中的人物主要在做什么？,操场打球,厨房做饭,站立面向镜头,泳池游泳,C,7.081
vid_0094,0094.mp4,16,视频中的人物主要在做什么？,观看电视,亲吻电视,擦拭电视,拆卸电视,B,7.103
vid_0095,0095.mp4,8,视频主要展示什么内容？,高考一分一段表,列车时刻表,电影排片表,商品价格表,A,7.104
vid_0096,0096.mp4,5,视频主要展示的是什么？,家用电器,文具书本,盆栽花卉,毛绒玩具,C,7.104
vid_0097,0097.mp4,10,视频主要展示什么比赛的相关内容？,游泳比赛,跑步比赛,体操比赛,足球比赛,B,7.104
vid_0098,0098.mp4,11,视频主要展示的是什么？,轮船,汽车,飞机,自行车,B,7.104
vid_0099,0099.mp4,1,画面中正在飞行的鸟类是？,老鹰,仙鹤,燕子,麻雀,B,7.104
vid_0100,0100.mp4,4,视频里小男孩主要在做什么？,在泳池游泳,在教室上课,和小鸭子玩耍,在厨房做饭,C,7.104
vid_0101,0101.mp4,6,视频里的两位老人主要在做什么？,坐着,打球,跳舞,炒菜,A,7.126
vid_0102,0102.mp4,9,视频里的两个孩子主要在做什么？,踢毽子,拍皮球,跳绳,打羽毛球,C,7.126
vid_0103,0103.mp4,14,视频的背景场景是哪里？,海边,雪山,森林,沙漠,A,7.128
vid_0104,0104.mp4,17,视频里出现的女性主要在做什么？,跳舞,扫地,看书,做饭,A,7.128
vid_0105,0105.mp4,2,视频主要展示的是天空中的什么？,烟花表演,民航客机,太阳月亮,大群飞鸟,C,7.128
vid_0106,0106.mp4,7,视频画面大面积展示的花是什么？,向日葵,百合花,新鲜荷花,干枯玫瑰,D,7.128
vid_0107,0107.mp4,15,视频里的年轻男女主要在做什么？,跑步锻炼,争吵打闹,互相拥抱,做饭炒菜,C,7.128
vid_0108,0108.mp4,13,视频中的主要场景是哪里？,乡村民居间的道路,专业篮球场馆,大型商场内部,地铁车厢内部,A,7.128
vid_0109,0109.mp4,3,视频的主要发生场景在哪里？,公路上,卧室内,海边,商场里,A,7.128
vid_0110,0110.mp4,12,视频中的主要场景是哪里？,卧室,超市,厨房,教室,D,7.128
vid_0111,0111.mp4,9,视频中的女性主要在做什么？,举重运动,原地转体运动,跳绳运动,原地跑步,B,7.149
vid_0112,0112.mp4,7,视频下方持续展示的是什么场景？,空旷沙漠地貌,自然山水风景,繁华城市街景,拥挤室内场馆,B,7.151
vid_0113,0113.mp4,4,小朋友脚边放着的球是什么？,乒乓球,足球,排球,篮球,B,7.151
vid_0114,0114.mp4,3,视频主要展现的户外场景是哪里？,草原,海边,高山,沙漠,B,7.151
vid_0115,0115.mp4,10,视频中人物主要在做什么？,处理各类水果,修理电器,弹奏乐器,打扫卫生,A,7.174
vid_0116,0116.mp4,8,视频前景桌面上主要摆放的是什么？,化妆刷具,习题试卷,厨房碗盘,儿童积木,B,7.174
vid_0117,0117.mp4,1,视频中的男子主要在做什么？,炒菜,扫地,唱歌,写字,A,7.174
vid_0118,0118.mp4,16,视频主要展示什么内容？,山水风景摄影,宠物互动日常,人物样貌胖瘦对比,美食制作过程,C,7.196
vid_0119,0119.mp4,14,视频中的人物主要在做什么？,跑步锻炼,炒菜做饭,唱歌跳舞,托腮面向镜头,D,7.197
vid_0120,0120.mp4,6,视频画面主要呈现的场景是？,居民家中,热闹集市,飞机高空窗外,海底世界,C,7.197
vid_0121,0121.mp4,15,视频的背景主要是哪类场景？,城市街道,山地森林,水面海景,住宅室内,C,7.197
vid_0122,0122.mp4,12,视频展示的主要背景场景是？,水边,沙漠,草原,森林,A,7.197
vid_0123,0123.mp4,17,视频画面中主要展示的花卉是？,牡丹,梅花,荷花,菊花,C,7.197
vid_0124,0124.mp4,13,视频中的人物主要在做什么？,走路,跳舞,做饭,打球,A,7.219
vid_0125,0125.mp4,2,视频里沿路飞舞的小动物形象是？,麻雀,蜻蜓,蝴蝶,蜜蜂,C,7.22
vid_0126,0126.mp4,1,视频中的男子主要在做什么？,在教室上课,在球场打球,沿观景步道行走,在厨房做饭,C,7.244
vid_0127,0127.mp4,11,视频主要展示的食物是什么？,土豆,香蕉,玉米,番茄,C,7.244
vid_0128,0128.mp4,4,视频中的人们主要在进行什么活动？,游泳比赛活动,烹饪聚餐活动,合唱表演活动,投掷类训练活动,D,7.244
vid_0129,0129.mp4,5,视频中的人群主要在做什么？,过马路,登台表演,排队购物,跳广场舞,A,7.244
vid_0130,0130.mp4,7,视频中人物主要在做什么？,写字上课,做饭炒菜,跑步锻炼,抬起腿拉扯裤脚,D,7.244
vid_0131,0131.mp4,9,视频主要展示的内容是什么？,动物科普内容,美食制作教程,旅游风景照片,游戏武器装备,D,7.265
vid_0132,0132.mp4,3,视频下方插画里的男女是什么状态？,互相追逐,激烈打斗,各自走远,相互依偎,D,7.267
vid_0133,0133.mp4,8,视频里醒目的大标题背景是什么颜色？,红色,紫色,蓝色,黄色,D,7.267
vid_0134,0134.mp4,10,视频中多数人物的上衣主色调是？,白色,蓝色,黑色,红色,B,7.267
vid_0135,0135.mp4,6,视频主要展现的是哪类场景？,体育比赛赛场,幼儿园课堂,司法办案场景,商场购物区域,C,7.267
vid_0136,0136.mp4,5,视频中人物所处的主要场景是？,开满花的草地,沙漠戈壁,海边沙滩,室内教室,A,7.267
vid_0137,0137.mp4,11,视频主要展示的特殊天气现象是什么？,下雪,日出,龙卷风,彩虹,C,7.267
vid_0138,0138.mp4,17,画面中门口的雕塑是什么造型？,蹲坐石狮造型,人物骑马造型,方鼎造型,假山造型,B,7.267
vid_0139,0139.mp4,16,视频中的人物主要在做什么？,跳舞,打篮球,做饭,田间锄地干农活,D,7.267
vid_0140,0140.mp4,2,视频中的人物主要在做什么？,写字画画,唱歌跳舞,炒菜做饭,用绳子给竹竿打结,D,7.29
vid_0141,0141.mp4,13,视频中的小男孩主要在做什么？,画画,唱歌,看书,吃虾,D,7.292
vid_0142,0142.mp4,15,画面中间的黑衣男子主要在做什么？,扫地,练习肢体动作,开车,吃饭,B,7.313
vid_0143,0143.mp4,14,视频中的人物主要在做什么？,打扫卫生,举哑铃锻炼,唱歌跳舞,做饭炒菜,B,7.313
vid_0144,0144.mp4,12,视频下方画面主要展示什么场景？,商场,雪地,沙漠,菜田,D,7.313
vid_0145,0145.mp4,14,视频主要展示的是什么？,做好的炒菜,生肉食材,包装零食,新鲜水果,A,7.313
vid_0146,0146.mp4,5,画面下方的人物主要拿着什么物品？,鲜花,水杯,菜刀,弓箭,D,7.335
vid_0147,0147.mp4,13,视频主要展示的是什么？,家庭饲养宠物,民用居民住宅,农田蔬菜大棚,工业生产流水线,D,7.337
vid_0148,0148.mp4,2,视频中最主要的展示对象是？,新鲜水果,宠物猫咪,老式自行车,职场着装男子,D,7.337
vid_0149,0149.mp4,15,视频主要展示的是什么？,宠物猫,婴儿,老年人,成年女性,B,7.339
vid_0150,0150.mp4,12,视频拍摄的主要场景是哪里？,海边沙滩,居民家中,户外树林,学校教室,C,7.36
vid_0151,0151.mp4,11,视频中人物主要在做什么？,集体跳舞,迎接并抱起小孩,打羽毛球,生火做饭,B,7.36
vid_0152,0152.mp4,17,视频中的男子主要在做什么？,踢足球,画画写字,做饭炒菜,抱起女生,D,7.406
vid_0153,0153.mp4,6,视频中人物主要在做什么？,做饭,唱歌,写字,跑步,C,7.429
vid_0154,0154.mp4,16,视频的背景画面主要是什么场景？,城市夜景,草原牧场,山林雪景,海边沙滩,C,7.453
vid_0155,0155.mp4,8,视频中的人物主要在做什么？,跑步锻炼,跳舞表演,烹饪做饭,对着镜头自拍展示,D,7.474
vid_0156,0156.mp4,10,视频主要呈现的活动是什么？,猜谜语,画画,做饭,打球,A,7.476
vid_0157,0157.mp4,3,视频的拍摄位置主要在哪里？,果园里,居民家里,行驶的汽车里,游泳馆里,C,7.476
vid_0158,0158.mp4,1,视频中可见以下哪种场景？,森林深处,地下溶洞,雪山山顶,海边沙滩,D,7.498
vid_0159,0159.mp4,9,视频主要展示什么物品？,胸贴,袜子,围巾,帽子,A,7.499
vid_0160,0160.mp4,7,视频里的男子主要在做什么？,生火做饭,开车赶路,唱歌跳舞,赶牛犁地,D,7.517
vid_0161,0161.mp4,4,视频中女士对面的动物是什么？,狗,猫,兔子,鹅,D,7.521
vid_0162,0162.mp4,4,视频中的小孩主要在做什么？,搭积木玩玩具,两名婴儿亲昵互动,跑跳追逐打闹,静坐阅读书本,B,7.522
vid_0163,0163.mp4,7,视频的主要背景场景是哪里？,海边,教室,厨房,果园,A,7.546
vid_0164,0164.mp4,3,视频里的人物主要在做什么？,跳舞,打球,看书,做饭,A,7.546
vid_0165,0165.mp4,6,视频里人物穿的主要是哪种服饰？,厨师工作服,西式西装,古代中式服装,现代运动服,C,7.546
vid_0166,0166.mp4,9,视频中的男子主要处于什么状态？,站立,奔跑,坐着,平躺,C,7.548
vid_0167,0167.mp4,8,视频里的人物主要在做什么？,生火做饭,近距离互动,弹奏乐器,跑步比赛,B,7.567
vid_0168,0168.mp4,16,视频展现的主要场景是？,晴天白日沙滩,明亮教室课堂,雨夜林间夜空,拥挤地铁车厢,C,7.571
vid_0169,0169.mp4,13,视频主要展示的食物是什么？,奶油蛋糕,白面馒头,玉米面饼子,油炸麻花,C,7.615
vid_0170,0170.mp4,5,画面中的灰衣人主要在做什么？,打球,做饭,跳舞,鞠躬,D,7.637
vid_0171,0171.mp4,14,视频中的人们主要在进行什么活动？,编织竹筐,打磨石器,喂养家禽,制作糍粑,D,7.637
vid_0172,0172.mp4,2,视频画面的主要背景颜色是？,纯黑色,浅黄色,深蓝色,大红色,B,7.638
vid_0173,0173.mp4,15,视频中的女子主要保持什么姿势？,站立,端坐,躺卧,行走,C,7.66
vid_0174,0174.mp4,12,视频的主要背景场景是？,学校操场,城市商业街区,室内家居环境,山水自然风景,D,7.662
vid_0175,0175.mp4,11,视频里的小孩主要在做什么？,玩耍,睡觉,看书,做饭,A,7.662
vid_0176,0176.mp4,1,视频中的人物主要在做什么？,唱歌,打球,写字,吃东西,D,7.662
vid_0177,0177.mp4,17,视频中主要出现的动物形象是？,老虎,熊猫,猴子,兔子,B,7.662
vid_0178,0178.mp4,10,视频主要展示的动物是什么？,兔子,仓鼠,小狗,小猫,D,7.664
vid_0179,0179.mp4,10,视频中的人物主要在做什么？,站着表演节目,躺着休息睡觉,忙着打扫卫生,并排坐面向镜头,D,7.683
vid_0180,0180.mp4,1,视频主要展示了什么内容？,厨师,汽车,佛像,大熊猫,C,7.685
vid_0181,0181.mp4,12,视频主要展示的自然场景是？,云雾山林,冰封雪原,金色沙滩,沙漠戈壁,A,7.708
vid_0182,0182.mp4,17,视频里年龄较小的幼儿借助什么物品移动？,儿童自行车,滑板车,学步车,婴儿推车,C,7.708
vid_0183,0183.mp4,11,视频里的小朋友主要在做什么？,踢足球,玩滑板车,画画,搭积木,B,7.731
vid_0184,0184.mp4,15,视频主要展示的内容是什么？,几只宠物猫,大型工程机械,一位女性,高山流水风景,C,7.753
vid_0185,0185.mp4,2,视频的背景场景是哪里？,雪山,沙漠,海边,草原,C,7.778
vid_0186,0186.mp4,14,视频主要展示的人体部位是？,嘴唇,膝盖,大拇指,脚掌,C,7.801
vid_0187,0187.mp4,13,视频中的中心女性主要在做什么？,跑步前进,炒菜做饭,伏案写字,唱歌跳舞,A,7.801
vid_0188,0188.mp4,5,视频中的人物主要在做什么？,做饭炒菜,跳舞表演,写字画画,给农田施肥,D,7.801
vid_0189,0189.mp4,8,视频中的人物主要在做什么？,游泳,跳水,蹦极,划船,C,7.824
vid_0190,0190.mp4,16,视频中的成年男子主要在做什么？,在户外打篮球,躺在床上睡觉,在厨房烹饪食物,坐在沙发上玩手机,D,7.824
vid_0191,0191.mp4,3,视频中人物主要在做什么？,打磨刀具,制作造型面食,裁剪薄纸,拼接竹签,B,7.847
vid_0192,0192.mp4,6,视频主要展示人物在做什么？,画画,跑步,做饭,剪头发,D,7.869
vid_0193,0193.mp4,4,视频主要展示什么内容？,动漫人物插画,真人演出片段,美食制作视频,真实山水风景,A,7.871
vid_0194,0194.mp4,7,视频里的小宝宝主要保持什么姿势？,奔跑,跳跃,趴着,站立,C,7.871
vid_0195,0195.mp4,9,视频里的核心男性主要在做什么？,做饭,跳舞,走路,打球,C,7.871
vid_0196,0196.mp4,9,视频中的两个人物主要在做什么？,在教室上课,在厨房做饭,在雨中奔跑,在舞台跳舞,C,7.892
vid_0197,0197.mp4,7,视频主要展示的核心景物是什么？,闹市商铺,月下枯树,稻田麦浪,雪山冰川,B,7.894
vid_0198,0198.mp4,6,视频背景的主要场景是哪一项？,乡村农田,城市街道,高山草原,海边沙滩,B,7.917
vid_0199,0199.mp4,4,视频中的婴儿主要在做什么？,玩手中的玩具,在地面爬行,坐着吃食物,用脚触碰身旁男子,D,7.917
vid_0200,0200.mp4,3,视频中的女性主要在做什么？,骑车,做饭,走路,跳舞,C,7.94
vid_0201,0201.mp4,16,视频的主要场景是哪里？,教室,雪地,沙漠,海边,D,7.94
vid_0202,0202.mp4,8,视频中的男子主要身处哪里？,教室内,雪地里,山顶上,泳池中,D,7.94
vid_0203,0203.mp4,13,视频里的女性主要在做什么？,打球,跳舞,走路,做饭,C,7.962
vid_0204,0204.mp4,15,视频中的人物主要在做什么？,画画,跑步,跳绳,荡秋千,D,7.964
vid_0205,0205.mp4,2,视频中出现的主要动物是？,老虎,兔子,猴子,熊猫,C,7.964
vid_0206,0206.mp4,5,视频展现的主要场景环境是？,雷雨夜晚,晴朗白天,雪后清晨,多云黄昏,A,7.966
vid_0207,0207.mp4,14,视频中的人物主要在做什么？,打篮球,打排球,踢足球,打乒乓球,A,7.966
vid_0208,0208.mp4,11,画面中的游戏角色主要在做什么？,一同跳舞,吃饭用餐,互相攻击对战,弹奏乐器,C,7.987
vid_0209,0209.mp4,17,视频中人物主要在做什么？,在操场跑步锻炼,在厨房烹饪食物,在教室听课学习,在高空建筑边缘行走,D,7.987
vid_0210,0210.mp4,1,视频中的人物主要在做什么？,做锻炼动作,弹奏乐器,烹饪美食,书写作业,A,8.01
vid_0211,0211.mp4,12,视频中的人物主要在做什么？,画画写生,合唱表演,开展训练活动,做饭聚餐,C,8.01
vid_0212,0212.mp4,10,视频中的人物主要在做什么？,制作手工作品,安静看书学习,开展高空危险活动,烹饪美食,C,8.01
vid_0213,0213.mp4,9,视频中的人物主要在做什么？,安静看书学习,集体跳舞表演,烹饪制作美食,拉扯后有人跑开,D,8.033
vid_0214,0214.mp4,6,视频中展示的饮品主体是什么颜色？,白色,蓝色,红色,绿色,C,8.033
vid_0215,0215.mp4,15,视频中人物主要在做什么？,缝制衣服,清洗水果,拨动电源开关,擦拭桌面,C,8.033
vid_0216,0216.mp4,4,视频里台上的男女起初在做什么？,烹饪饭菜,互相拥抱,清扫地面,演奏乐器,B,8.033
vid_0217,0217.mp4,3,视频动态画面中出现的主要人物是？,年幼孩童,中年男性,老年男性,年轻女性,D,8.033
vid_0218,0218.mp4,7,视频里的主要人物正在做什么？,沿街步行,坐着休息,路边摆摊,骑车通行,A,8.051
vid_0219,0219.mp4,8,视频中的女性主要在做什么？,拖地板,喝饮品,吃水果,叠衣服,B,8.055
vid_0220,0220.mp4,13,视频中人物主要在做什么？,紧固轮胎,擦拭油箱口,冲洗车身,给车充电,B,8.055
vid_0221,0221.mp4,11,视频中人物主要在做什么？,写字,画画,炒菜,扫地,A,8.056
vid_0222,0222.mp4,16,视频中的人物主要在做什么？,持枪进行队列训练,围坐吃饭聚餐,开展篮球比赛,集体跳舞表演,A,8.056
vid_0223,0223.mp4,2,视频主要展示的动物是什么？,仓鼠,猫,兔子,狗,B,8.08
vid_0224,0224.mp4,5,视频主要展示的对象是什么？,人物,植物,建筑,动物,A,8.08
vid_0225,0225.mp4,17,视频主要展示的场景是哪里？,城市道路,海边沙滩,室内教室,乡村农田,A,8.08
vid_0226,0226.mp4,12,视频中的人物主要在做什么？,在河里游泳,在厨房做饭,对着镜头摆姿势,在操场跑步,C,8.08
vid_0227,0227.mp4,14,视频里的人们主要在做什么？,体验游乐项目,维修设备,上课学习,下地务农,A,8.08
vid_0228,0228.mp4,1,视频中的成年男子主要在做什么？,弹奏乐器,跑步打球,炒菜做饭,教宝宝认挂图,D,8.101
vid_0229,0229.mp4,6,视频中的士兵主要在做什么？,生火做饭,课堂学习,跳舞庆祝,操作武器作战,D,8.103
vid_0230,0230.mp4,10,视频中的人物主要在做什么？,操场打球,舞台跳舞,乘坐汽车,厨房做饭,C,8.103
